,subject,sentence
524,I ,I beg you.
525,I ,I can fly.
526,I ,I can run.
527,I ,I can run.
528,I ,I can ski.
529,I ,I cringed.
530,I ,I fainted.
531,I ,I fainted.
532,I ,I gave up.
533,I ,I gave up.
534,I ,I gave up.
535,I ,I gave up.
536,I ,I get you.
537,I ,I get you.
538,I ,I get you.
541,I ,I hate it.
542,I ,I hate it.
543,I ,I hate it.
544,I ,I hit Tom.
545,I ,I hope so.
546,I ,I knew it.
547,I ,I laughed.
548,I ,I like it.
549,I ,I love it!
550,I ,I love it.
551,I ,I mean it!
552,I ,I mean it.
553,I ,I mean it.
554,I ,I miss it.
555,I ,I miss it.
556,I ,I miss it.
557,I ,I need it.
558,I ,I saw Tom.
559,I ,I saw him.
560,I ,I saw him.
561,I ,I saw one.
562,I ,I saw one.
563,I ,I saw one.
564,I ,I saw you.
565,I ,I saw you.
566,I ,I see Tom.
567,I ,I tripped.
568,I ,I'll cook.
569,I ,I'll cook.
570,I ,I'll live.
571,I ,I'll sing.
572,I ,I'll stop.
573,I ,I'll stop.
574,I ,I'll wait.
575,I ,I'll wait.
576,I ,I'll walk.
577,I ,I'll walk.
578,I ,I'll work.
579,I ,I'm a man.
580,I ,I'm a pro.
581,I ,I'm alone.
582,I ,I'm alone.
583,I ,I'm alone.
584,I ,I'm alone.
585,I ,I'm angry.
586,I ,I'm angry.
587,I ,I'm awake.
588,I ,I'm blind.
589,I ,I'm broke.
590,I ,I'm broke.
591,I ,I'm broke.
592,I ,I'm broke.
593,I ,I'm crazy.
594,I ,I'm drunk.
595,I ,I'm drunk.
596,I ,I'm drunk.
597,I ,I'm dying.
598,I ,I'm first.
599,I ,I'm first.
600,I ,I'm first.
601,I ,I'm first.
602,I ,I'm happy.
603,I ,I'm happy.
606,I ,I'm obese.
607,I ,I'm ready.
608,I ,I'm sorry.
609,I ,I'm tired.
610,I ,I'm tired.
611,I ,I'm yours.
612,I ,I'm yours.
613,I ,I'm yours.
614,I ,I've lost.
617,Tom ,Is Tom OK?
618,Tom ,Is Tom in?
619,it ,Is it bad?
620,it ,Is it bad?
621,it ,Is it far?
622,it you ,Is it you?
623,It ,It burned.
624,It ,It failed.
625,It ,It failed.
626,It ,It failed.
627,It ,It is new.
628,It ,It rained.
629,It ,It snowed.
630,It ,It stinks.
631,It ,It worked.
632,It ,It's 3:10.
633,It ,It's 8:30.
634,It ,It's a TV.
635,It ,It's cold.
636,It ,It's cold.
637,It ,It's cool.
638,It ,It's cool.
639,It ,It's dark.
641,It ,It's fine.
642,It ,It's good.
643,It ,It's good.
644,It ,It's here.
645,It ,It's hers.
646,It ,It's late.
647,It ,It's mine.
648,It ,It's mine.
649,It ,It's nice.
650,It ,It's nice.
651,It ,It's okay.
652,It ,It's okay.
653,It ,It's ours.
654,It ,It's ours.
655,It ,It's over.
656,It ,It's over.
657,It ,It's time.
658,It ,It's time.
659,It ,It's time.
660,It ,It's time.
661,It ,It's true!
662,It ,It's true.
663,It ,It's work.
686,me ,Let me go!
687,me ,Let me go!
688,me ,Let me go!
689,me ,Let me go.
690,me ,Let me in.
691,me ,Let me in.
692,us ,Let us in.
693,'s ,Let's eat.
694,'s ,Let's see.
695,'s ,Let's try!
718,Nice ,Nice shot!
743,She ,She tried.
744,She ,She tried.
745,She ,She walks.
746,She ,She walks.
747,She ,She walks.
748,She ,She's hot.
749,She ,She's hot.
750,She ,She's hot.
751,She ,She's hot.
752,She ,She's hot.
797,That ,That's it.
798,That ,That's me.
799,That ,That's me.
801,They ,They fell.
802,They ,They left.
803,They ,They left.
804,They ,They left.
805,They ,They lost.
806,Tom ,Tom bowed.
807,Tom ,Tom cared.
808,Tom ,Tom cared.
809,Tom ,Tom cared.
812,Tom ,Tom cried.
813,Tom ,Tom dozed.
814,Tom ,Tom drove.
815,Tom ,Tom is OK.
816,Tom ,Tom is in.
817,Tom ,Tom is up.
818,Tom ,Tom knits.
819,Tom ,Tom knows.
820,Tom ,Tom moved.
821,Tom ,Tom moved.
823,Tom ,Tom stood.
825,Tom ,Tom swore.
826,Tom ,Tom tried.
827,Tom ,Tom tries.
828,Tom ,Tom voted.
830,Tom ,Tom waved.
831,Tom ,Tom works.
832,Tom'll ,Tom'll go.
848,We ,We can go.
849,We ,We can go.
850,We ,We can go.
851,We ,We failed.
852,We ,We failed.
853,We ,We forgot.
854,We ,We saw it.
855,We ,We saw it.
856,We ,We talked.
857,We ,We waited.
858,We ,We'll see.
859,We ,We'll see.
860,We ,We'll try.
861,We ,We've won!
862,What ,What's up?
863,Who ,Who cares?
864,he ,Who is he?
865,it ,Who is it?
866,Who ,Who knows?
867,Who ,Who stood?
868,Who ,Who'll go?
871,You ,You drive.
872,You ,You start.
873,You ,You tried.
874,You ,You're OK.
875,You ,You're OK.
879,I ,Am I right?
880,I ,Am I wrong?
881,I ,Am I wrong?
885,you ,Are you 18?
886,you ,Are you 18?
887,you ,Are you OK?
888,you ,Are you in?
889,you ,Are you in?
890,you ,Are you up?
904,Birds ,Birds sing.
905,Birds ,Birds sing.
909,I ,Can I come?
910,I ,Can I come?
911,I ,Can I come?
912,I ,Can I help?
913,I ,Can I stay?
938,Tom ,Did Tom go?
946,men ,Do men cry?
986,God ,God exists.
991,He ,He ate out.
992,He ,He coughed.
993,He ,He gave in.
994,He ,He gave up.
995,He ,He gave up.
996,He ,He gave up.
997,He ,He gave up.
998,He ,He hung up.
999,He ,He hung up.
1000,He ,He is a DJ.
1001,He ,He is here!
1002,He ,He is kind.
1003,He ,He is kind.
1004,He ,He is kind.
1005,He ,He is mean.
1006,He ,He is tall.
1007,He ,He laughed.
1008,He ,He made it.
1009,He ,He made it.
1010,He ,He made it.
1011,He ,He's broke.
1012,He ,He's broke.
1013,He ,He's cruel.
1014,He ,He's lying.
1015,He ,He's lying.
1016,He ,He's smart.
1017,He ,He's smart.
1018,he ,Here he is!
1019,he ,Here he is!
1020,it ,Here it is.
1021,we ,Here we go.
1026,Tom ,How is Tom?
1031,work ,How's work?
1032,work ,How's work?
1035,I ,I admit it.
1036,I ,I am a man.
1037,I ,I am a man.
1038,I ,I am bored.
1039,I ,I am happy.
1040,I ,I am happy.
1041,I ,I am happy.
1042,I ,I am human.
1043,I ,I am ready.
1044,I ,I am tired.
1045,I ,I broke it.
1046,I ,I can help.
1047,I ,I can jump.
1048,I ,I can read.
1049,I ,I can sing.
1050,I ,I can swim.
1051,I ,I chuckled.
1052,I ,I disagree.
1053,I ,I doubt it.
1054,I ,I eat here.
1055,I ,I eat here.
1056,I ,I eat meat.
1057,I ,I envy Tom.
1058,I ,I envy him.
1059,I ,I feel bad.
1060,I ,I feel old.
1061,I ,I felt bad.
1062,I ,I found it.
1064,I ,I got sick.
1065,I ,I hate Tom.
1066,I ,I hate you.
1067,I ,I have one.
1068,I ,I have one.
1069,I ,I have won.
1070,I ,I hear you.
1071,I ,I help him.
1072,I ,I knew Tom.
1073,I ,I know Tom.
1074,I ,I know her.
1075,I ,I know him.
1076,I ,I know now.
1077,I ,I like Tom.
1078,I ,I like art.
1079,I ,I like him.
1080,I ,I like him.
1081,I ,I like tea.
1082,I ,I like you.
1083,I ,I liked it.
1084,I ,I love Tom.
1085,I ,I love him.
1086,I ,I love him.
1087,I ,I love you.
1088,I ,I love you.
1089,I ,I love you.
1090,I ,I love you.
1091,I ,I loved it.
1092,I ,I miss Tom.
1093,I ,I miss him.
1094,I ,I miss him.
1095,I ,I miss you.
1096,I ,I must run.
1097,I ,I need Tom.
1098,I ,I need ice.
1099,I ,I promised.
1100,I ,I ran home.
1101,I ,I ran home.
1102,I ,I remember.
1103,I ,I remember.
1104,I ,I remember.
1105,I ,I resigned.
1106,I ,I said yes.
1107,I ,I said yes.
1108,I ,I sat down.
1109,I ,I sat down.
1110,I ,I saw that.
1111,I ,I saw that.
1112,I ,I saw that.
1113,I ,I screamed.
1114,I ,I screamed.
1115,I ,I see them.
1116,I ,I see them.
1117,I ,I shot Tom.
1118,I ,I survived.
1119,I ,I think so.
1120,I ,I think so.
1121,I ,I threw up.
1122,I ,I told Tom.
1123,I ,I told Tom.
1124,I ,I use this.
1125,I ,I use this.
1126,I ,I want Tom.
1127,I ,I want one!
1128,I ,I want one!
1129,I ,I want one.
1130,I ,I want one.
1131,I ,I was late.
1132,I ,I was sick.
1133,I ,I won't go.
1134,I ,I work out.
1135,I ,I wrote it.
1136,I ,I'd buy it.
1137,I ,I'll be OK.
1138,I ,I'll do it.
1139,I ,I'll do it.
1140,I ,I'll go in.
1141,I ,I'll go in.
1142,I ,I'm French.
1143,I ,I'm a hero.
1144,I ,I'm a liar.
1145,I ,I'm a twin.
1146,I ,I'm better.
1147,I ,I'm bushed.
1148,I ,I'm buying.
1149,I ,I'm clumsy.
1150,I ,I'm coming.
1151,I ,I'm eating.
1152,I ,I'm faster.
1153,I ,I'm greedy.
1154,I ,I'm hiding.
1155,I ,I'm hungry!
1156,I ,I'm hungry!
1157,I ,I'm hungry.
1158,I ,I'm immune.
1159,I ,I'm moving.
1160,I ,I'm moving.
1161,I ,I'm normal.
1162,I ,I'm scared.
1163,I ,I'm single.
1164,I ,I'm single.
1165,I ,I'm single.
1166,I ,I'm skinny.
1167,I ,I'm sleepy!
1168,I ,I'm sleepy!
1169,I ,I'm sleepy.
1170,I ,I'm so fat.
1171,I ,I'm so fat.
1172,I ,I'm trying.
1173,I ,I'm trying.
1174,I ,I'm twelve.
1175,I ,I'm twelve.
1176,I ,I've eaten.
1179,Tom ,Is Tom big?
1180,Tom ,Is Tom fat?
1182,Tom ,Is Tom hot?
1183,Tom ,Is Tom ill?
1184,Tom ,Is Tom mad?
1185,Tom ,Is Tom out?
1186,he ,Is he dead?
1187,he ,Is he tall?
1188,it ,Is it free?
1189,it ,Is it good?
1190,it ,Is it here?
1191,it ,Is it here?
1192,it ,Is it here?
1193,it ,Is it real?
1194,it ,Is it safe?
1195,it ,Is it true?
1196,that ,Is that OK?
1197,that ,Is that OK?
1198,that ,Is that it?
1199,that ,Is that it?
1200,that ,Is that so?
1201,that ,Is that so?
1202,this ,Is this OK?
1203,this it ,Is this it?
1204,this it ,Is this it?
1205,It ,It happens.
1206,It ,It is cold.
1207,It ,It is mine.
1208,It ,It's Tom's.
1209,It ,It's alive.
1210,It ,It's empty.
1211,It ,It's great.
1212,It ,It's great.
1213,It ,It's green.
1214,It ,It's green.
1215,It ,It's magic.
1216,It ,It's my CD.
1217,It ,It's night.
1218,It ,It's night.
1219,It ,It's on me.
1220,It ,It's ready.
1221,It ,It's right.
1222,It ,It's right.
1223,It ,It's right.
1224,It ,It's there.
1225,It ,It's white.
1226,It ,It's windy.
1227,It ,It's yours.
1228,It ,It's yours.
1229,Jesus ,Jesus wept.
1245,Tom ,Let Tom go.
1246,Tom ,Let Tom in.
1247,him ,Let him go!
1248,him ,Let him go.
1249,him ,Let him in.
1250,him ,Let him in.
1251,him ,Let him in.
1252,him ,Let him in.
1253,him ,Let him in.
1256,me ,Let me pay.
1257,me ,Let me see.
1258,me ,Let me see.
1259,me ,Let me see.
1260,'s ,Let's chat.
1261,'s ,Let's chat.
1262,'s ,Let's kiss.
1263,'s ,Let's play.
1264,'s ,Let's quit.
1265,'s ,Let's quit.
1266,'s ,Let's sing.
1267,'s ,Let's swim.
1268,'s ,Let's talk.
1269,'s ,Let's vote.
1270,'s ,Let's walk.
1271,'s ,Let's work.
1290,Love ,Love lasts.
1291,Mama ,Mama cried.
1308,She ,She is old.
1309,She ,She smiled.
1310,She ,She's busy.
1311,She ,She's nice.
1337,Study ,Study hard.
1350,That ,That hurts.
1351,That ,That works.
1352,That ,That'll do.
1353,That ,That'll do.
1354,That ,That'll do.
1355,That ,That'll do.
1356,That ,That's Tom.
1357,That ,That's her.
1358,That ,That's her.
1359,That ,That's him.
1360,That ,That's his.
1361,That ,That's his.
1362,That ,That's new.
1363,That ,That's wet.
1364,They ,They cheat.
1365,They ,They cheat.
1366,They ,They stood.
1367,They ,They stood.
1368,They ,They tried.
1369,They ,They voted.
1370,They ,They voted.
1371,They ,They're in.
1372,They ,They're in.
1373,They ,They're in.
1374,This ,This is OK.
1375,This ,This is OK.
1376,This ,This is it.
1377,This ,This is it.
1378,This ,This is it.
1379,This ,This is it.
1380,This ,This works.
1381,This ,This works.
1382,This'll ,This'll do.
1383,This'll ,This'll do.
1384,This'll ,This'll do.
1385,Time ,Time flies.
1386,Time ,Time is up.
1387,Tom ,Tom agreed.
1388,Tom ,Tom agreed.
1389,Tom ,Tom agrees.
1391,Tom ,Tom burped.
1392,Tom ,Tom called.
1394,Tom ,Tom danced.
1396,Tom ,Tom did it.
1400,Tom ,Tom failed.
1401,Tom ,Tom failed.
1403,Tom ,Tom fought.
1404,Tom ,Tom fought.
1408,Tom ,Tom goofed.
1409,Tom ,Tom got up.
1410,Tom ,Tom helped.
1411,Tom ,Tom hit me.
1412,Tom ,Tom is bad.
1413,Tom ,Tom is big.
1414,Tom ,Tom is fat.
1415,Tom ,Tom is fun.
1416,Tom ,Tom is ill.
1417,Tom ,Tom is mad.
1418,Tom ,Tom is new.
1419,Tom ,Tom is odd.
1420,Tom ,Tom is old.
1421,Tom ,Tom is out.
1422,Tom ,Tom is sad.
1423,Tom ,Tom is shy.
1424,Tom ,Tom is wet.
1425,Tom ,Tom jumped.
1426,Tom ,Tom looked.
1427,Tom ,Tom moaned.
1428,Tom ,Tom nodded.
1429,Tom ,Tom obeyed.
1430,Tom ,Tom paused.
1431,Tom ,Tom phoned.
1432,Tom ,Tom phoned.
1433,Tom ,Tom prayed.
1434,Tom ,Tom prayed.
1435,Tom ,Tom saw it.
1436,Tom ,Tom saw me.
1437,Tom ,Tom saw us.
1438,Tom ,Tom shaved.
1439,Tom ,Tom shaved.
1440,Tom ,Tom sighed.
1441,Tom ,Tom smiled.
1443,Tom ,Tom stayed.
1444,Tom ,Tom talked.
1445,Tom ,Tom waited.
1446,Tom ,Tom walked.
1447,Tom ,Tom was OK.
1448,Tom ,Tom winked.
1449,Tom ,Tom winked.
1450,Tom ,Tom winked.
1451,Tom ,Tom worked.
1452,Tom ,Tom yawned.
1453,Tom ,Tom yelled.
1455,Tom'll ,Tom'll die.
1460,Tom ,Tom's died.
1479,he ,Was he Tom?
1480,it ,Was it fun?
1481,it ,Was it fun?
1487,We ,We are men.
1488,We ,We buy CDs.
1489,We ,We can pay.
1490,We ,We can try.
1491,We ,We can try.
1492,We ,We can try.
1493,We ,We can win.
1494,We ,We had fun.
1495,We ,We had fun.
1496,We ,We laughed.
1497,We ,We like it.
1498,We ,We love it.
1499,We ,We made it.
1500,We ,We must go.
1501,We ,We must go.
1502,We ,We saw Tom.
1503,We ,We saw you.
1504,We ,We saw you.
1505,We ,We want it.
1506,We ,We'll cook.
1507,We ,We'll fail.
1508,We ,We'll help.
1509,We ,We'll help.
1510,We ,We'll help.
1511,We ,We'll sing.
1512,We ,We'll wait.
1513,We ,We'll wait.
1514,We ,We'll walk.
1515,We ,We'll work.
1516,We ,We're back.
1517,We ,We're back.
1518,We ,We're back.
1519,We ,We're busy.
1520,We ,We're cold.
1522,We ,We're even.
1523,We ,We're fine.
1524,We ,We're here.
1525,We ,We're home.
1527,We ,We're poor.
1528,We ,We're rich.
1529,We ,We're rich.
1530,We ,We're sick.
1531,We ,We're weak.
1533,What ,What gives?
1534,What ,What gives?
1535,What ,What's new?
1536,What ,What's new?
1537,I ,Where am I?
1538,I ,Where am I?
1539,Tom ,Who is Tom?
1540,Who ,Who phoned?
1541,Who ,Who stayed?
1542,Who ,Who yelled?
1544,Who ,Who's next?
1545,that ,Who's that?
1546,that ,Who's that?
1547,that ,Who's that?
1549,You ,You called?
1550,You ,You can go.
1551,You ,You can go.
1552,You ,You can go.
1553,You ,You can go.
1554,You ,You decide.
1555,You ,You may go.
1556,You ,You may go.
1557,You ,You may go.
1558,You ,You may go.
1559,You ,You may go.
1560,You ,You may go.
1561,You ,You may go.
1562,You ,You missed.
1563,You ,You'll see.
1564,You ,You'll see.
1565,You ,You're bad.
1566,You ,You're big.
1567,You ,You're big.
1568,You ,You're old.
1569,You ,You're sad.
1570,You ,You've won!
1571,All ,All is well.
1572,All ,All is well.
1575,Anyone ,Anyone hurt?
1576,we ,Are we done?
1577,you ,Are you Tom?
1578,you ,Are you Tom?
1579,you ,Are you hot?
1580,you ,Are you hot?
1581,you ,Are you mad?
1582,you ,Are you mad?
1583,you ,Are you mad?
1584,you ,Are you mad?
1585,you ,Are you new?
1586,you ,Are you new?
1587,you ,As you like.
1588,you ,As you like.
1589,you ,As you like.
1590,you ,As you like.
1609,I ,Can I begin?
1610,it ,Can it wait?
1611,we ,Can we talk?
1612,we ,Can we talk?
1613,you ,Can you see?
1614,you ,Can you see?
1631,Tom ,Did Tom die?
1632,you ,Did you win?
1633,I ,Do as I say.
1638,you ,Do you bowl?
1690,he ,Has he come?
1691,he ,Has he come?
1694,He ,He can come.
1695,He ,He can read.
1696,He ,He can swim.
1697,He ,He found it.
1698,He ,He got away.
1699,He ,He grew old.
1700,He ,He has come!
1701,He ,He has guts.
1702,He ,He has wine.
1703,He ,He helps us.
1704,He ,He is alone.
1705,He ,He is drunk.
1706,He ,He is eight.
1707,He ,He is happy.
1708,He ,He is happy.
1710,He ,He is lying.
1711,He ,He is lying.
1712,He ,He is nasty.
1713,He ,He is nasty.
1714,He ,He is nasty.
1715,He ,He is tired.
1716,He ,He is young.
1717,He ,He likes me.
1718,He ,He likes me.
1719,He ,He resigned.
1720,He ,He stood up.
1721,He ,He was busy.
1722,He ,He's a jerk.
1723,He ,He's a liar.
1724,He ,He's faking.
1725,He ,He's not in.
1726,He ,He's not in.
1727,He ,He's not in.
1728,He ,He's not in.
1729,He ,He's skinny.
1730,He ,He's strong.
1731,He ,He's stupid.
1732,He ,He's stupid.
1733,He ,He's stupid.
1738,I ,Here I come.
1739,I ,Here I come.
1740,she ,Here she is!
1741,we ,Here we are!
1742,we ,Here we are.
1746,I ,I am French.
1747,I ,I am a cook.
1748,I ,I am a monk.
1749,I ,I am better.
1750,I ,I am better.
1751,I ,I am better.
1752,I ,I am dozing.
1753,I ,I am hungry.
1754,I ,I am hungry.
1755,I ,I am joking.
1756,I ,I am joking.
1757,I ,I am single.
1758,I ,I am single.
1759,I ,I am single.
1760,I ,I am taller.
1761,I ,I apologize.
1762,I ,I asked Tom.
1763,I ,I blame Tom.
1764,I ,I bought it.
1765,I ,I bought it.
1766,I ,I can do it.
1767,I ,I can share.
1768,I ,I can't eat.
1769,I ,I can't say.
1770,I ,I can't say.
1771,I ,I confessed.
1772,I ,I cry a lot.
1773,I ,I don't eat.
1774,I ,I eat bread.
1775,I ,I eat fruit.
1776,I ,I feel sick.
1777,I ,I felt cold.
1778,I ,I felt dumb.
1779,I ,I felt that.
1780,I ,I forgot it.
1781,I ,I found you.
1782,I ,I found you.
1783,I ,I got a job.
1784,I ,I got angry.
1785,I ,I had to go.
1786,I ,I hate cats.
1787,I ,I hate dogs.
1788,I ,I hate dogs.
1789,I ,I hate milk.
1790,I ,I hate rats.
1791,I ,I hate sand.
1792,I ,I hate sand.
1793,I ,I hated Tom.
1794,I ,I hated Tom.
1795,I ,I have $300.
1796,I ,I have news.
1797,I ,I have time.
1798,I ,I have wine.
1799,I ,I hear that.
1800,I ,I heard you.
1801,I ,I heard you.
1802,I ,I hired Tom.
1803,I ,I knew that.
1804,I ,I knew that.
1805,I ,I know that.
1806,I ,I know them.
1807,I ,I know this.
1808,I ,I know this.
1809,I ,I know this.
1811,I ,I like dogs.
1812,I ,I like jazz.
1813,I ,I like milk.
1814,I ,I like rice.
1815,I ,I like rock.
1816,I ,I like snow.
1817,I ,I like that.
1818,I ,I like them.
1819,I ,I like this.
1820,I ,I like wine.
1821,I ,I liked Tom.
1822,I ,I live here.
1823,I ,I live here.
1824,I ,I love beer.
1825,I ,I love dogs.
1826,I ,I love fish.
1827,I ,I love golf.
1828,I ,I love kids.
1829,I ,I love kids.
1830,I ,I love life.
1831,I ,I love math.
1832,I ,I love math.
1833,I ,I love rock.
1834,I ,I love rock.
1835,I ,I love snow.
1836,I ,I love snow.
1837,I ,I love soup.
1838,I ,I loved her.
1839,I ,I loved her.
1840,I ,I loved her.
1841,I ,I loved you.
1842,I ,I loved you.
1843,I ,I loved you.
1844,I ,I loved you.
1845,I ,I loved you.
1846,I ,I loved you.
1847,I ,I made that.
1848,I ,I mean that.
1849,I ,I missed it.
1850,I ,I must hide.
1851,I ,I need help.
1852,I ,I need help.
1853,I ,I need mine.
1854,I ,I need mine.
1855,I ,I need them.
1856,I ,I need this.
1857,I ,I need time.
1858,I ,I needed it.
1859,I ,I never win.
1860,I ,I often ski.
1861,I ,I overslept.
1862,I ,I pay taxes.
1863,I ,I read lips.
1864,I ,I said stop.
1865,I ,I said stop.
1866,I ,I said stop.
1867,I ,I said that.
1868,I ,I saw a UFO.
1869,I ,I saw a dog.
1870,I ,I saw a dog.
1871,I ,I saw a dog.
1872,I ,I sell cars.
1873,I ,I should go.
1874,I ,I smell gas.
1875,I ,I smell gas.
1876,I ,I thank you.
1877,I ,I trust her.
1878,I ,I trust him.
1879,I ,I trust you.
1880,I ,I want mine.
1881,I ,I want mine.
1882,I ,I want mine.
1883,I ,I want more.
1884,I ,I want that.
1885,I ,I want them.
1886,I ,I want them.
1887,I ,I want this.
1888,I ,I want this.
1889,I ,I was awake.
1890,I ,I was dizzy.
1891,I ,I was dizzy.
1892,I ,I was drunk.
1895,I ,I was lucky.
1896,I ,I was naive.
1897,I ,I was naked.
1898,I ,I was right.
1899,I ,I was tired.
1900,I ,I was wrong.
1901,I ,I went home.
1902,I ,"I went, too."
1903,I ,I will wait.
1904,I ,I will work.
1905,I ,I won again.
1906,I ,I won't ask.
1907,I ,I work here.
1908,I ,I'd ask Tom.
1909,I ,I'll change.
1910,I ,I'll try it.
1911,I ,"I'm 17, too."
1912,I ,I'm a baker.
1913,I ,I'm a loser.
1914,I ,I'm a loser.
1915,I ,I'm a woman.
1916,I ,I'm a woman.
1917,I ,I'm at home.
1918,I ,I'm at home.
1919,I ,I'm at home.
1921,I ,I'm cooking.
1922,I ,I'm curious.
1923,I ,I'm dancing.
1924,I ,I'm engaged.
1925,I ,I'm excited.
1926,I ,I'm excited.
1927,I ,I'm fasting.
1928,I ,I'm finicky.
1929,I ,I'm healthy.
1930,I ,I'm in jail.
1931,I ,I'm in love.
1932,I ,I'm jittery.
1933,I ,I'm jittery.
1934,I ,I'm kidding.
1935,I ,I'm leaving.
1936,I ,I'm married.
1937,I ,I'm married.
1938,I ,I'm married.
1939,I ,I'm married.
1940,I ,I'm nervous.
1941,I ,I'm neutral.
1942,I ,I'm no liar.
1943,I ,I'm not Tom.
1944,I ,I'm not fat.
1945,I ,I'm not fat.
1946,I ,I'm not old.
1947,I ,I'm not sad.
1948,I ,I'm not shy.
1949,I ,I'm patient.
1951,I ,I'm reading.
1952,I ,I'm resting.
1953,I ,I'm selfish.
1954,I ,I'm serious.
1955,I ,I'm serious.
1956,I ,I'm sloshed.
1957,I ,I'm so full.
1960,I ,I'm through.
1961,I ,I'm too fat.
1962,I ,I'm trapped.
1963,I ,I'm unlucky.
1964,I ,I'm waiting.
1965,I ,I'm working.
1966,I ,I'm worried.
1968,Tom ,Is Tom dead?
1969,Tom ,Is Tom done?
1970,Tom ,Is Tom good?
1971,Tom ,Is Tom here?
1972,Tom ,Is Tom here?
1973,Tom ,Is Tom home?
1974,Tom ,Is Tom home?
1975,Tom ,Is Tom hurt?
1976,he ,Is he right?
1977,he ,Is he right?
1978,he ,Is he right?
1979,he ,Is he right?
1980,he ,Is he right?
1981,it ,Is it there?
1982,it ,Is it to go?
1983,it ,Is it windy?
1984,it ,Is it yours?
1985,it ,Is it yours?
