,subject,sentence
73, הגדרה ,"ההגדרה האפשרית היחידה של קיצוניות חייבת להיות יחסית למרכז מסוים
"
74, ו ,"מתברר כי העתקת משפטים פסקאות וערכים שלמים ממקורות שאינם חופשיים
"
75, בנים  בכור ,"הבנים הצעירים חזרו לגרמניה ואילו הבכור מתגורר ככל הנראה בארגנטינה
"
76, ערך ,"הערך חוזר לרשימת ההמתנה לאחר טיפול בהערות שעלו בהצבעה הקודמת
"
77, עוד ,"יש באתר עוד ערכים בקשר למשחקים והערכים האלה נחשבים אנציקלופדיים
"
78, הוא ,"כיום הוא חי בקליפורניה ומשמש פרופסור לספרות אנגלית באוניברסיטת סטנפורד
"
79, כלים ,"כלים אקדמיים שיסייעו להבנת שוק הספרים בישראל יתקבלו כמובן בברכה
"
81, יקיחדשות ,"במידה מסוימת ויקיחדשות משמשת בעצמה כמעין פורטל לערכים של ויקיפדיה
"
84, זאת  אפשרות ,"זאת אפשרות נחמדה למשתמשים ותיקים שרוצים לחסוך לעצמם צעד אחד
"
85, ו ,"צילום ממרחק קרוב ובעזרת עצמית רחבה יוצר תחושת פרספקטיבה חזקה
"
86, יצירה ,"היצירה הצליחה לעורר שאלות חשובות בשיח האמנות ולקבוע סדר חדש
"
87, פתרונות ,"בתקופה זו החלו להתפתח גם פתרונות מסחריים לתחום אשכול המחשבים
"
88, הקמת ,"לאחר הקמת המדינה הצטרף למשרד החוץ בו שירת בתפקידים בכירים
"
89, מדיניות  אומרת  יקיפד  חשיבות ,"המדיניות אומרת שצריך לפחות ויקיפד אחד שחושב שיש לערך חשיבות
"
90, מלחמת ,"לאחר פרוץ מלחמת העולם הראשונה גויס לצבא ונשלח לחזית המערבית
"
91, נובגורוד  עיר ,"נובגורוד נחשבת לעיר החשובה ביותר מבחינה היסטורית בצפון מערב רוסיה
"
92, חנויות ,"בעקבות הצלחת החנות נפתחו חנויות נוספות בארץ בעיקר באזור ת""א
"
93, האם  העברת ,"האם העברת תוכן בצורה מסודרת לערכים המתאימים לפחות באופן חלקי
"
95, תקופה  חצור ,"התקופה הישראלית בפעם הבאה נזכרת חצור בתנ""ך בהקשר שונה לחלוטין
"
97, אדולף ,"לאחר ניצחונו בתחרות הוכר אדולף אנדרסן כשחקן החזק ביותר בעולם
"
98, מנהל ,"מנהל המחקר החקלאי הגדול ביותר בארץ ובין הידועים מסוגו בעולם
"
99, צומת ,"צומת משתתפת בבחירות לרשויות המקומיות בישראל אך בהיקף מצומצם
"
100, קישורים ,"קישורים חיצוניים הביוגרפיה הרשמית של ראסל באתר של מדינת מסצ'וסטס
"
104, ערך ,"ערך זה עוסק בקבוצות אינדיאנים שישבו באזורים נרחבים באמריקה התיכונה
"
105, ג ויס ,"ג'ויס למד באוניברסיטת לונדון וזכה בהצטיינות לתואר ראשון בספרות אנגלית
"
106, חפירות ,"חפירות ארכאולוגיות העלו ממצאים המעידים על פעילות אנושית מתקופת האבן
"
108, רפורמציה ,"הרפורמציה הפרוטסטנטית באנגליה קנתה לה יריבות חדשה עם ספרד הקתולית
"
109, כנסיות ,"כנסיות חזקות נוספות התפתחו באזורים שונים של אינדונזיה המוסלמית ברובה
"
110, ביוגרפיה ,"ביוגרפיה ישראל סגל נולד למשפחה חרדית בשכונת שערי חסד בירושלים
"
112, ערכים ,"יש עוד ערכים שכתבתי שאינם מופיעים בויקיפדיה באנגלית בנושאי ארכאולוגיה
"
113, ג פרסון ,"מאוחר יותר שיחק ג'פרסון כדורסל בליגת המכללות במדי אוניברסיטת אריזונה
"
118, תואר ,"נרשמה ללימודי סוציולוגיה באוניברסיטה העברית וסיימה תואר ראשון ושני בסוציולוגיה
"
119, קשרים ,"קשרים אלו מתקיימים באמצעות הלשכה ליחסי חוץ במועצת העיר לידס
"
120, הצבעת ,"היתה הצבעת פרלמנט שבה החליטו הויקיפדים שאינם רוצים חמישה בודקים
"
121, הצעת ,"הצעת מחיקה במקרים כאלה לא תצליח מסיבות אובייקטיביות ופשוט חבל
"
122, לימודי ,"סיים בשווייץ לימודי דוקטורט וחזר לארץ בסוף מלחמת העולם הראשונה
"
123, חובבי ,""" ואולי חובבי תיאוריות קונספירציה ימצאו פרטים חריגים בכל התרחשות
"
124, אקראית ,"במקרה של אופציות הצבעה מרובות מדי הוויקיפדים עלולים לבחור אקראית
"
125, הם ,"האם הם יכולים להיחשב דמויות בעלות חשיבות אנציקלופדית בפני עצמם
"
126, משפחה ,"המשפחה יצאה מהארץ מספר פעמים לצורך מחקריו האקדמיים של האב
"
128, מערכת ,"מערכת זו נמצאת עדיין בשימוש נרחב בארצות הברית ובמקומות נוספים
"
129, משתמשים ,"אולי ניתן שמשתמשים אנונימיים יהיו חייבים להציג את השינויים שביצעו
"
130, אתה ,"אתה מנסה למחוק ערכים ולשנות החלטות קודמות בהצבעת מחלוקת תמוהה
"
131, ו ,"בבית הכנסת נמצאה רצפת פסיפס המתארת דמויות ואירועים מהתנ""ך
"
132, הוא ,"הוא היה מנהל מעולה והעביר בהצלחה רפורמות בחיל התותחנים הצרפתי
"
133, מחבר  מאורעות ,"המחבר מתאר כיצד לשיטתו הביאו מאורעות הזמן להתפתחות עם ישראל
"
135, ו ,"לערוך שגיאות כתיב ודברים דומים בערכים מחוץ לתחומי העניין הבסיסיים
"
137, תשומת  אלבום  הצלחתו ,"למרות תשומת הלב הרבה שעורר האלבום הצלחתו המסחרית הייתה מוגבלת
"
139, מדיניות ,"מדיניות החוץ של גרגוריוס השלושה עשר הייתה מכוונת נגד הפרוטסטנטים
"
143, התייחסות ,"בוויקיפדיה העברית התייחסות למשרד החוץ תהיה בדרך כלל לזה הישראלי
"
144, ערכים ,"בוויקיפדיה חסרים מאות ערכים חשובים בנושאי אבטחת מידע וביקורת פנים
"
146, מסמך  הנחיות ,"המסמך החשוב ביותר כלל הנחיות חדשות בהקשר לזכויות האצולה הרוסית
"
147, אלכסנדר ,"לאחר ההתנקשות בחייו של פיליפוס הוכתר אלכסנדר בנו למלך מקדוניה
"
149, החלטת  אנשים ,"לפי איזה קריטריונים בדיוק החלטת שאנשים מסוימים פחות חשובים מאחרים
"
150, הוא ,"רכש את השכלתו המשפטית באוניברסיטת תל אביב כשהוא מסיים בהצטיינות
"
151, תאוריה  התקבלה ,"התאוריה של הולמס התקבלה בהרחבה בבריטניה אולם נדחתה במקומות אחרים
"
153, פיגועים ,"פיגועים רבים נעשו כנגד ההתנחלויות ברצועת עזה וכנגד חיילי צה""ל
"
154, קיימות ,"קיימות ראיות חדשות שיכולות להביא לשינוי תוצאות המשפט לטובת הנאשם
"
155, קריירה ,"קריירה בינלאומית אמרה הוזמן לראשונה לסגל הנבחרת למשחק מול נורבגיה
"
157, ארגנטינה ,"במשחק השני התמודדה ארגנטינה עם פנמה אחת הנבחרות החלשות בטורניר
"
158, הכשרה ,"ההכשרה ברובה מתקיימת בתנאי בסיס סגור במתחם התוכנית באוניברסיטת חיפה
"
159, עובדה ,"העובדה שמדובר על פורום שקיים במספר אוניברסיטאות בישראל אינה מספיקה
"
160, מסתבר  זכויות ,"מסתבר שזכויות היוצרים על הספר שייכות לממשלת מחוז בוואריה בגרמניה
"
161, צירים  מהפכה ,"שלושת הצירים שעליהן נעה המהפכה התעשייתית היו תעסוקה משפחה וחברה
"
162, אזרבייג ן ,"במאות הבאות הייתה אזרבייג'ן בשליטת המעצמות השכנות רוסיה טורקיה ופרס
"
164, חוק ,"החוק פרט מערך שירותים שאנשים העומדים בקריטריונים המתאימים זכאים לקבל
"
166, שאלה ,"השאלה צריכה להיות כיצד מתייחסים לאירוע בספרות המקצועית לדעתי
"
167, ו ,"בצעירותו לחם במלחמת העולם הראשונה וקיבל מספר ציונים לשבח
"
168, השפעה ,"למחזה נודעה השפעה רבה בעיצוב זיכרון המלחמה של החברה האזרחית
"
169, ביוגרפיה ,"ביוגרפיה רבינוביץ יליד ירושלים השתחרר מצה""ל בדרגת סגן אלוף
"
170, בית ,"במהלך מלחמת העולם השנייה נהרס בית האופרה כליל בשתי הפצצות
"
172, חלק ,"ראיתי שחלק גדול מהאנשים הם חברה צעירים בחלקם סטודנטים וכד'
"
173, מבקר  אני ,"אם המבקר מאמץ כלים אנציקלופדיים אני מציין זאת במפורש בדיון
"
175, עמדתו ,"בדיון התקבלה עמדתו התקיפה של צ'רצ'יל שהתנגד לכל נסיון לפשרה
"
176, נבחרת ,"הנבחרת מנוהלת על ידי התאחדות הכדורגל של בוסניה והרצגובינה
"
177, נימוק ,"הנימוק שעל האנציקלופדיה העברית חתום ישעיהו ליבוביץ הוא נימוק מוחץ
"
179, עניין ,"מבחינתי העניין הזה סגור ואפשר להתמקד בדיון החשיבות המחודש
"
181, ערכים  הם ,"ערכים על אנשים שהם בלתי אנציקלופדיים בעליל נמחקים מחיקה מהירה
"
182, נפשות ,"בזמן מלחמת העולם הראשונה עשה נפשות בארצות הברית לרעיון הציוני
"
183, נציג ,"במהלך האולימפיאדה הצליח נציג ישראלי לזכות לראשונה במדליית זהב
"
184, משחק ,"בשנים האחרונות המשחק זוכה לפופולריות הולכת וגדלה גם בשאר העולם
"
187, קישורים ,"קישורים חיצוניים בית בלגיה מתוך האתר הרשמי של האוניברסיטה העברית
"
189, התנהגות ,"במקרים מסוימים ההתנהגות המהווה תרמית יכולה לגרור אף אחריות פלילית
"
190, גאוגרפיה ,"גאוגרפיה טוקיו ממוקמת בצפון מערב מפרץ טוקיו לחוף האוקיינוס השקט
"
191, גורמים ,"גורמים בממשל האמריקאי הביעו חשדות עמוקים לגבי פעולות ברית המועצות
"
192, שי ,"שי נהג בהתאם לנהלים שנקבעו בהצבעה דמוקרטית בין חברי הקהילה
"
193, בעיה ,"ויקיפדיה מוצג טוב בפיירפוקס וייתכן וקיימת בעיה כלשהי בדפדפן שלך
"
194, עדכונים ,"עדכונים בתבנית לוויין הראל שלום תודה על השתתפותך במיזם הקואורדינטות
"
195, קישורים ,"קישורים חיצוניים הקו הירוק באתר המוזיאון הממלכתי לאמנות קופנהגן
"
196, אזורים ,"בירושלים הוקמו ארבעה אזורים כאלה המרכזי שבהם באזור מגרש הרוסים
"
197, ג ,"ג לבחון מנגנונים לשיתוף סטודנטים בקבלת ההחלטות במוסדות להשכלה גבוהה
"
198, עיר ,"העיר משמשת כמרכז דיג ונחשבת לאחד מאתרי הנופש הגדולים במדינה
"
199, ויקיפדיה  ו ,"ויקיפדיה היא אנציקלופדיה כללית ולא אמורה להתמקד דווקא באירועים ישראלים
"
201, עיריית ,"עיריית ברמינגהאם הפכה את המקום למוזיאון מודרני שזכה בפרסים בינלאומיים
"
202, חוסר ,"במקומות שיש בהם חוסר ניתן להשתמש בעקרונות השיטה המקובלים במערכת
"
206, הצבעות ,"הצבעות מחיקה אינן משחק אנא התייחס להצעות של עצמך ברצינות
"
208, יצחק  מונחים ,"לצורך החיבור חידש יצחק הישראלי כמה מונחים מקצועיים בעברית
"
209, חברי ,"בפרט כאשר חברי הצוות צפויים לקחת חלק בישיבות דומות בעתיד
"
210, עצם  הם  כבישים ,"עצם העובדה שהם כבישים עיקריים בצפון הארץ מספק להם חשיבות
"
211, גורמים  מלחמת ,"גורמים חיצוניים מלחמת קוריאה העלתה את מחירי מוצרי הגלם בעולם
"
212, צרפתים ,"לאחר הכרזת המלחמה לא ביצעו הצרפתים כל פעולה כנגד האיטלקים
"
213, חיים ,"לכן חיים יכלו להיווצר מחומרים רגילים בתהליך של אבולוציה כימית
"
214, אלכסנדר ,"אחרי ניצחונות אלה נכנס אלכסנדר למצרים וכבש אותה מידי הפרסים
"
218, היסטוריה ,"היסטוריה במקום התקיימה עיר חשובה בעת השלטון הצלבני בארץ ישראל
"
219, תפקיד  נחושת  היא ,"תפקיד ביולוגי הנחושת מופיעה בכל היצורים החיים והיא חיונית לחיים
"
220, דיון ,"אין פותחים הצבעה בפרלמנט לפני שהתקיים דיון רחב בנושא במזנון
"
221, קטעים ,"בגלריה מוצגים קטעים המופיעים בפינת משחקי החשיבה בשער לילדים
"
223, רעיון ,"גם בוושינגטון החל רעיון הכניסה לתוך קוריאה הצפונית לצבור פופולריות
"
224, אנציקלופדיה ,"האנציקלופדיה בריטניקה יוצאת לאור לקהל דוברי אנגלית בן מיליארד קוראים
"
225, חבר ,"חבר הוועדה המקצועית של קרן יהושע רבינוביץ' לאמנויות בתל אביב
"
226, ישראל ,"ישראל מצדה הפעילה בשטחים ממשל צבאי ברוח אמנת ז'נבה הרביעית
"
227, פתיחה ,"עקב פריצת מלחמת לבנון השנייה נדחתה הפתיחה המחודשת של המקום
"
228, אהב ,"אהב להתעסק בחיפוש נוסחאות קדומות לדברי חכמים וגם בקירוב רחוקים
"
229, סטודנטים ,"אליהם הצטרפו סטודנטים שרצו להישאר ערים לשם לימודים לפני בחינות
"
230, אני ,"אני מתייחסת ספציפית לערך העמותה לקידום משחקי תפקידים בישראל
"
232, החלה ,"בתחילת שנות השבעים החלה להתפתח סצנת הרוק המתקדם הישראלי
"
233, הבה ,"הבה נמשיך בדיון לפני פתיחת הצבעת מחלוקת שרצוי להימנע ממנה
"
234, הוא  ו ,"הוא הצטרף לסטודנטים של אוניברסיטת ורשה ולמד סוציולוגיה ופילוסופיה
"
235, זה  ו ,"זה מצב גזעני ובלתי נסבל שלא יכול להמשיך להתקיים באנציקלופדיה
"
236, ערך ,"לכן התחלתי לשפץ ערכים קטנים אליהם יצטרך הערך זכוכית להפנות
"
237, קישורים ,"קישורים חיצוניים ביוגרפיה רשמית של אוסטין באתר הקונגרס האמריקאי
"
238, בריטניה ,"אחרי המלחמה הגבירה בריטניה משמעותית את הנוכחות הצבאית שלה באזור
"
241, בסיס ,"במלחמת העצמאות שימש בסיס להתקפות ערביות על הדרך לירושלים
"
242, יועץ ,"בעקבות כך הורה היועץ המשפטי לממשלה אמנון רובינשטיין לפתוח בחקירה
"
243, מגמה ,"בשבועות האחרונים חלה מגמה לכתוב בצורה מסודרת את ההיסטוריה הרומית
"
244, בחירה ,"הבחירה היחסית נועדה לעזור למפלגות קטנות להיכנס לבית הנבחרים
"
247, צ כוסלובקיה ,"לאחר מלחמת העולם השנייה הפכה צ'כוסלובקיה למדינה קומוניסטית מתונה
"
248, מערכת ,"מצד שני עומדת מערכת קטגוריות שנערכה ע""י ארגון הבריאות העולמי
"
249, סן ,"סן פרנסיסקו היא העיר הרביעית בגודלה במדינת קליפורניה שבארצות הברית
"
250, קישורים ,"קישורים חיצוניים סיפורי הופמן באתר האינטרנט של האופרה הישראלית
"
252, סניפים ,"בתחילה הוקמו סניפים ראשונים במדינות מרכז אירופה גרמניה אוסטריה ואיטליה
"
253, סבורים ,"גם הסבורים אחרת נדרשים להישמע לכללי ההתנהגות בין חברי הקהילה
"
254, דיון ,"הדיון הנוסף בפרשה זו מהווה תקדים חשוב בדיני הראיות הישראליים
"
255, בויקיפדיה ,"התחלתי בויקיפדיה באנגלית אבל מהר הבנתי שעדיף להשקיע בזו העברית
"
257, פורטל ,"לדעתי הפורטל במצבו הנוכחי מפר את ההנחיות שלנו לעיצוב פורטלים
"
258, משפחות ,"משפחות חברי ארגון ירושלים עברו להתגורר זמנית בבית ספר בחיפה
"
259, מערכת ,"בין השניים מתפתחת מערכת יחסים במהלך אירועי הסרט השני בסדרה
"
260, כתיבה ,"בתחומים רבים חסרים כותבים ובמקרים אחרים הכתיבה מרוכזת בידי בודדים
"
261, ניב ,"בתחילת שנות השבעים למד ניב פסיכולוגיה באוניברסיטה העברית בירושלים
"
262, אתר ,"האתר פועל היטב באינטרנט אקספלורר אך אינו מתפקד כראוי בפיירפוקס
"
263, ערכים ,"הערכים שבהם מדובר ויש יותר מאחד כוללים קישורים לאתרים מסחריים
"
264, מאמרי ,"מאמרי המערכת שלו שיצאו כנגד הכנסייה הביאו למספר תביעות נגדו
"
265, שחקנים  נשלחו ,"רוב השחקנים נשלחו בהמשך למחנות עבודה וחלקם הוצאו להורג במחנות
"
267, ארגון ,"הארגון גם מופיע ברשימת הערכים החסרים תחת קטגורית ארגוני הלהט""ב
"
268, נסיכה ,"הנסיכה הייתה הראשונה מבית המלוכה הבריטי להשתתף בתחרויות האולימפיאדה
"
272, נבחרת ,"הנבחרת מעולם לא העפילה למשחקים האולימפיים או לאליפות העולם בכדורסל
"
275, נבחרות ,"בטורניר משתתפות נבחרות מצפון אמריקה מרכז אמריקה ומדינות האיים הקריביים
"
276, ספרים  הוא ,"הספרים שהוא ערך נפוצים לפחות חלקם גם מחוץ לגבולות החסידות
"
277, עצם ,"עצם הבחירה לציין אירוע כלשהו בערך מצביעה על חשיבות מסוימת
"
278, הוא ,"במסגרת התפקיד הוא הראה את עצמו כמפקד צבאי ופוליטיקאי מוצלח
"
279, עצמון ,"בראשית מלחמת העולם השנייה הצטרף עצמון לקבוצת פליטים יהודים
"
280, אבידן ,"בציבור הרחב נחשב אבידן לאיש מצפון ובעל סמכות מוסרית עליונה
"
281, הוא  בויקיפדיה ,"הוא כתוב בצורה שאינה מקובלת בויקיפדיה ודורש צמצום פרטים לאלתר
"
282, נשק ,"הנשק הועבר עוד בליל המבצע ליחידות שעמדו לפתוח במבצע נחשון
"
283, אום  דבר  שנייה ,"בבחירות נחלה אום כישלון מוחץ והדבר גרם לנקודת המפנה השנייה
"
284, דיון ,"בשעות שקדמו לפתיחת ההצבעה התנהל דיון ער במזנון בנושא ההצעה
"
285, ויקיציטוט ,"ויקיציטוט הצרפתי נמחק לחלוטין בגלל מעשים כאלה בקנה מידה ענק
"
286, יפתח  יוצרים ,"יפתח גולדמן זכויות יוצרים היי תסתכל בבקשה בקישור החיצוני השלישי
"
287, אני ,"מתנצל שאני מעורר מהומות דווקא לגבי החלק הפחות חשוב במאמר
"
289, קישורים  ו ,"קישורים חיצוניים ראו מדיה וקבצים בנושא התחייה היוונית בוויקישיתוף
"
290, משפחות ,"רוב המשפחות הישראליות יוצאות לטייל ברחבי הארץ באופן קבוע
"
292, אצ ל ,"בפעולה זו נמנע לראשונה האצ""ל לפרסם אזהרה מוקדמת לפני הפיצוץ
"
293, חוקים  יהודים ,"גם בגרמניה הנאצית היו חוקים והיהודים הושמדו בצורה חוקית לחלוטין
"
294, מבנה  בתי ,"המבנה החברתי בתי המגורים מחולקים לשתי שכונות לפי קבוצות משפחה
"
295, עיר  היא ,"העיר נמצאת בלב המחוז והיא הגדולה ביותר במערב קרוליינה הצפונית
"
296, ייצור ,"ייצור גבינה הומצא במרכז אסיה ובמזרח התיכון ומשם התפשט לאירופה
"
298, חשיבות ,"מה החשיבות האנציקלופדית הכללית של חברת תחבורה ציבורית בעיר אחת
"
300, קישורים ,"קישורים חיצוניים אשכול בפורום בחדרי חרדים בעקבות פטירתו הייד פארק
"
301, שרידי ,"שרידי צדיקים שהועברו לקבורה מחודשת בישראל בעיקר מצפון אפריקה
"
302, משתמשים ,"אין משתמשים חדשים ללא עריכות קודמות יכולים להצביע בהצבעות מחיקה
"
304, אביו ,"בזמן מלחמת העולם השנייה גויס אביו ונשלח להלחם בצבא הגרמני
"
306, ביוגרפיה ,"ביוגרפיה ריצ'רדסון נולדה בלונדון למשפחה של שחקנים ואנשי תיאטרון
"
307, עמדתו ,"בימי משפט רצח חיים ארלוזורוב הייתה עמדתו מנוגדת לזרם הכללי
"
308, נסיונות ,"בתקופה ההלניסטית היו מספר נסיונות חיצוניים לפגיעה במצוות הברית
"
309, עובדה  כולם ,"האם העובדה שכולם התגוררו בחברון היא רלוונטית מבחינה אנציקלופדית
"
310, בעיה  מידע ,"הבעיה שבמהלך האיחוד חלק מהמידע נמחק וקשה יהיה לשחזר אותו
"
311, הצעה ,"ההצעה הובאה לאישור המחלקה המדינית של הסוכנות היהודית ושם נדחתה
"
312, ספרות  צ ייקובסקי ,"הספרות המוזיקלית איננה יודעת להסביר מדוע כתב צ'ייקובסקי יצירה זו
"
313, ו ,"חיפשתי בקטגוריה ויקיפדיה מדיניות פנים התיחסות לעניין ולא מצאתי
"
316, סיירת ,"את המבצע ביצעה סיירת מטכ""ל בראשות יונתן נתניהו שנהרג בפעולה
"
317, אנחנו ,"בתור ויקיפדים אנחנו מצויים לתרגם מאמרים על תרבות ישראל לאנגלית
"
318, מועדון ,"המועדון מתמקד בארבעה תחומים אומנות דרמה מוזיקה ומשחקים חברתיים
"
319, שגריר ,"השגריר בארץ העלה נימוקים לגבי השם שאינם תקפים במדינות אחרות
"
320, תופעה  נפוצה ,"התופעה נפוצה במספר מדינות ביניהן אוסטרליה הולנד בלגיה ועוד רבות
"
321, זאת  סוגיה ,"זאת הסוגיה המרכזית לדעתי וויקיפדיה צריכה להיות מדויקת בעניין הזה
"
322, זהו  נסיון ,"זהו הנסיון הראשון שהצליח לאסוף חומר כלשהו מעבר למסלול הירח
"
325, מבקרי  הוא ,"מבקרי המצפה אינם יכולים לצפות דרכו מכיוון שהוא ממוחשב לחלוטין
"
327, נקודות ,"נקודות אלו נפוצות בשדות תעופה בבתי קפה ובמקומות ציבוריים נוספים
"
328, עיקר ,"עיקר הממצאים מרוכזים כיום במוזיאון לארכאולוגיה של איסטנבול טורקיה
"
329, צ ייקובסקי ,"צ'ייקובסקי עצמו כתב מעל התווים הראשונים בפתיחה של הסימפוניה החמישית
"
331, ראשית ,"ראשית חייו היינריך מילר נולד במינכן למשפחה קתולית ממעמד הפועלים
"
332, תאריך ,"תאריך הקרב מסמן את תחילת שלטון האימפריה העות'מאנית במזרח התיכון
"
333, תורת ,"תורת המיתרים מציעה אפשרות לקיום יותר מארבעה ממדים במרחב זמן
"
334, תפקידים ,"תפקידים במהלך משחק כדורסל רשאים לשחק בכל קבוצה חמישה שחקנים
"
335, תקופה ,"תקופה מסוימת התגוררה בארצות הברית והופיעה בעיקר בפני קהל יהודי
"
336, פרופסור ,"בתחילת שנות השישים שימש פרופסור אורח באוניברסיטה העברית בירושלים
"
337, אלבום ,"האלבום יצא חודשיים לפני המלחמה ונחשב לאלבום הפופ העברי הראשון
"
338, דף ,"הדף ויקיפדיה פרסומים בעיתונות מראה חשיפה סבירה ברבים מכלי התקשורת
"
339, מחבלים  הכשרה ,"המחבלים ידעו כולם גרמנית ועברו הכשרה צבאית ממושכת לקראת הפעולה
"
340, מטרה ,"המטרה בשלב זה תהיה לזהות בעיות ולקבוע סטנדרטים לפורטלים מומלצים
"
341, קישורים ,"קישורים חיצוניים לשער לנושאים אישים ומאמרים בחינוך ראו פורטל החינוך
"
